                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0698,                 3.9873,                 4.3175,                0.00398,                0.46222,                0.01003,                0.00377,                 3.1497,                 3.6662,                 4.1588,                0.00012,                0.00012,                0.00012
                      2,                 3.1538,                 3.9841,                  4.307,                0.00389,                0.45778,                0.00794,                0.00302,                   3.15,                 3.6634,                 4.1584,             0.00023426,             0.00023426,             0.00023426
                      3,                 2.9918,                 3.8786,                 4.2096,                0.00394,                0.46222,                0.00793,                0.00299,                 3.1498,                 3.6609,                 4.1579,              0.0003208,              0.0003208,              0.0003208
                      4,                  3.138,                 3.8513,                   4.17,                0.00393,                0.46222,                0.00861,                0.00312,                 3.1498,                 3.6571,                 4.1577,             0.00037962,             0.00037962,             0.00037962
                      5,                 2.9561,                 3.7426,                 4.1399,                0.00384,                0.45778,                0.03129,                0.00809,                 3.1497,                 3.6509,                 4.1565,             0.00041072,             0.00041072,             0.00041072
                      6,                 2.9634,                 3.7835,                 4.1012,                0.00388,                0.46222,                0.01012,                0.00361,                 3.1493,                 3.6456,                 4.1587,              0.0004141,              0.0004141,              0.0004141
                      7,                 2.8919,                 3.6536,                 4.0364,                0.00383,                0.46222,                0.00704,                0.00284,                 3.1479,                 3.6374,                 4.1696,             0.00038976,             0.00038976,             0.00038976
                      8,                 2.9738,                 3.5785,                 3.9463,                0.00378,                0.46222,                0.00706,                0.00278,                  3.147,                 3.6332,                 4.1787,              0.0003377,              0.0003377,              0.0003377
                      9,                 3.0068,                 3.5485,                 3.9229,                0.00376,                0.46222,                0.00732,                0.00277,                 3.1467,                 3.6274,                 4.1952,             0.00025792,             0.00025792,             0.00025792
                     10,                 3.1803,                 3.6074,                 3.9562,                0.00376,                0.46222,                0.00741,                0.00282,                 3.1464,                  3.626,                 4.2094,             0.00015042,             0.00015042,             0.00015042
