                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3072,                 4.6362,                 4.3251,                0.00033,                0.01111,                0.00032,                  6e-05,                 4.2918,                 4.5902,                 4.1615,                0.00011,                0.00011,                0.00011
                      2,                 3.9555,                 4.3255,                 4.2307,                0.00032,                0.01111,                0.00031,                  6e-05,                 4.2983,                 4.6226,                 4.1658,             0.00022772,             0.00022772,             0.00022772
                      3,                 3.6383,                 3.9678,                 4.1237,                0.00029,                0.01111,                0.00075,                  7e-05,                 4.3148,                 4.6973,                 4.1792,             0.00034307,             0.00034307,             0.00034307
                      4,                 3.4152,                 3.6904,                 3.9464,                0.00029,                0.01111,                0.00075,                  7e-05,                 4.3705,                 4.8826,                 4.2354,             0.00045604,             0.00045604,             0.00045604
                      5,                 3.1831,                 3.4402,                 3.7077,                0.00029,                0.01111,                0.00075,                  7e-05,                 4.4581,                 5.0553,                 4.3386,             0.00056664,             0.00056664,             0.00056664
                      6,                 3.0785,                 3.2098,                 3.4664,                0.00029,                0.01111,                0.00075,                  7e-05,                 4.5069,                 5.1202,                 4.4117,             0.00067486,             0.00067486,             0.00067486
                      7,                 2.9046,                 3.0534,                   3.23,                0.00029,                0.01111,                0.00075,                  7e-05,                 4.5754,                 5.2354,                  4.521,              0.0007807,              0.0007807,              0.0007807
                      8,                 2.7382,                 2.8481,                 3.0353,                 0.0022,                0.02631,                0.00306,                0.00091,                 4.4085,                 5.1431,                 4.4931,             0.00088417,             0.00088417,             0.00088417
                      9,                 2.6306,                 2.6518,                 2.8751,                0.00503,                0.10391,                0.02459,                0.01461,                  4.243,                 4.9815,                 4.3923,              0.0009208,              0.0009208,              0.0009208
                     10,                  2.574,                 2.5055,                  2.712,                0.48295,                0.05727,                0.05225,                 0.0252,                 3.6714,                 4.1718,                  3.803,              0.0009208,              0.0009208,              0.0009208
                     11,                 2.5051,                 2.3085,                 2.5671,                0.70258,                0.07766,                0.06431,                0.03272,                 3.1616,                 3.4458,                 3.3204,              0.0009109,              0.0009109,              0.0009109
                     12,                 2.3889,                 2.1594,                  2.432,                0.53024,                0.09658,                0.08486,                0.03654,                 2.8697,                 3.0348,                 3.0234,               0.000901,               0.000901,               0.000901
                     13,                 2.2667,                 2.0301,                 2.3315,                 0.5681,                0.12496,                0.14683,                0.06877,                 2.2849,                 2.5896,                 2.5452,              0.0008911,              0.0008911,              0.0008911
                     14,                 2.2247,                 2.0044,                 2.2679,                0.56084,                0.10994,                0.16341,                0.06376,                 2.1728,                 2.5355,                 2.3891,              0.0008812,              0.0008812,              0.0008812
                     15,                 2.1445,                  1.844,                 2.1711,                0.46822,                0.22427,                0.24584,                0.11174,                 1.9611,                 1.9764,                 2.1438,              0.0008713,              0.0008713,              0.0008713
                     16,                 2.0649,                 1.7444,                  2.067,                0.46933,                0.32299,                0.34848,                0.17394,                 1.9881,                 1.7212,                 2.1008,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.988,                 1.7104,                 1.9926,                0.37234,                0.41249,                0.39569,                0.20984,                 1.7996,                 1.5509,                 1.9577,              0.0008515,              0.0008515,              0.0008515
                     18,                 2.0646,                 1.7494,                 2.0001,                 0.3418,                0.36827,                0.37366,                0.19911,                 1.7244,                 1.4802,                 1.9151,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.9056,                 1.6614,                 1.9156,                0.60985,                0.31843,                 0.3729,                0.21782,                 1.6916,                   1.45,                 1.8792,              0.0008317,              0.0008317,              0.0008317
                     20,                  1.841,                 1.6036,                 1.8902,                0.45508,                0.43892,                0.47494,                0.26942,                 1.7036,                 1.4543,                 1.8897,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.8094,                 1.5261,                 1.8408,                0.71374,                0.40596,                 0.4877,                 0.2982,                 1.5438,                 1.3317,                 1.7563,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.762,                 1.4518,                 1.8027,                0.61749,                0.40455,                0.41087,                0.22269,                 1.7154,                 1.4756,                 1.8639,               0.000802,               0.000802,               0.000802
                     23,                  1.735,                 1.4512,                 1.8082,                0.61786,                0.36779,                0.51807,                0.29449,                 1.5549,                 1.3081,                 1.7467,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.6763,                  1.376,                 1.7348,                0.48897,                0.47053,                0.51333,                0.30902,                 1.4444,                 1.3184,                 1.6914,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.683,                 1.3472,                 1.6905,                0.48121,                0.46891,                0.53267,                 0.2669,                 1.5282,                 1.3408,                  1.709,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.6702,                 1.3404,                  1.687,                0.64597,                  0.426,                0.52728,                0.30058,                 1.5645,                 1.2839,                 1.7121,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.6405,                 1.2905,                 1.6467,                 0.6432,                0.39587,                0.53818,                0.35074,                 1.3461,                 1.2547,                 1.5726,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.6004,                 1.2876,                  1.655,                  0.612,                0.37849,                0.50429,                 0.3083,                 1.3909,                 1.2289,                 1.5964,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5641,                 1.2285,                 1.6051,                 0.5902,                0.45722,                0.55086,                0.31522,                  1.383,                 1.2306,                 1.5924,              0.0007327,              0.0007327,              0.0007327
                     30,                   1.53,                 1.2401,                 1.6074,                0.62637,                0.39522,                0.52131,                0.31528,                 1.3132,                 1.2147,                 1.5444,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.4877,                 1.1759,                 1.5531,                0.51218,                 0.4434,                 0.5458,                0.33389,                 1.3579,                 1.1531,                 1.5167,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.4936,                 1.1772,                 1.5583,                 0.5486,                0.58284,                0.58772,                0.37764,                 1.2368,                 1.2164,                 1.4684,               0.000703,               0.000703,               0.000703
                     33,                 1.4217,                  1.133,                 1.5085,                0.70044,                0.41828,                0.56955,                0.35186,                 1.2998,                 1.0959,                 1.4928,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.3892,                 1.0991,                 1.4732,                0.70304,                0.52671,                0.63918,                0.37569,                 1.3929,                 1.1256,                 1.5417,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.3996,                 1.0827,                 1.4828,                0.58024,                0.47012,                0.57395,                0.38856,                 1.2194,                 1.0723,                 1.4261,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4638,                 1.1378,                 1.5093,                0.65091,                 0.5339,                0.63784,                0.41643,                 1.3163,                 1.0453,                 1.4592,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3903,                  1.075,                 1.4537,                0.66544,                0.54724,                 0.6531,                 0.4394,                 1.2005,                  1.084,                 1.4096,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3557,                 1.0415,                 1.4155,                0.58592,                0.56059,                0.64727,                0.42706,                 1.3013,                 1.0234,                 1.4578,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3838,                 1.0807,                 1.4487,                0.71192,                0.50819,                0.66409,                0.43508,                 1.2157,                 1.0097,                 1.4236,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3594,                 1.0588,                 1.4651,                0.58689,                0.63289,                0.69425,                  0.449,                 1.2155,                0.97184,                 1.4061,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3275,                 1.0151,                 1.4186,                0.56198,                0.58101,                 0.6599,                0.44753,                 1.1425,                0.93811,                 1.3631,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.2994,                0.98521,                 1.3939,                0.60512,                0.62119,                 0.6884,                0.45115,                 1.1193,                0.92361,                 1.3574,               0.000604,               0.000604,               0.000604
                     43,                 1.3284,                 1.0258,                 1.4106,                0.67384,                 0.5348,                0.64972,                0.45076,                 1.1562,                0.96397,                 1.3605,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.2636,                0.98114,                 1.3929,                0.67541,                0.65352,                0.72013,                 0.4979,                 1.1775,                0.88345,                 1.3578,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2871,                0.97099,                 1.3695,                0.70493,                0.61032,                0.72077,                 0.4514,                 1.1877,                0.90146,                 1.3514,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2708,                0.97713,                 1.3688,                0.61905,                 0.6092,                0.66672,                 0.4629,                 1.1527,                0.90733,                 1.3364,              0.0005644,              0.0005644,              0.0005644
                     47,                  1.249,                0.93422,                 1.3504,                0.66415,                0.63175,                0.69637,                0.46517,                 1.0997,                0.85669,                 1.3216,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.1958,                0.92058,                 1.3263,                  0.667,                0.65364,                0.70995,                 0.4831,                 1.0691,                0.87131,                 1.2794,              0.0005446,              0.0005446,              0.0005446
